OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
4013,0140341,imperfectly drained,morainal till, , , , , , , , , , , , , ,68
4014,0140342,imperfectly drained,morainal till, , , , , , , , , , , , , ,68
4015,0140343,well drained,morainal till, , , , , , , , , , , , , ,40
4016,0140344,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4017,0140345,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4018,0140346,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4019,0140347,well drained,morainal till, , , , , , , , , , , , , ,31
4020,0140348,imperfectly drained,morainal till, , , , , , , , , , , , , ,42
4021,0140349,well drained,morainal till, , , , , , , , , , , , , ,0
4022,0140350,imperfectly drained,morainal till, , , , , , , , , , , , , ,59
4023,0140351,well drained,morainal till, , , , , , , , , , , , , ,39
4024,0140352,poorly drained,morainal till, , , , , , , , , , , , , ,31
4025,0140353,imperfectly drained,morainal till, , , , , , , , , , , , , ,48
4026,0140354,well drained,morainal till, , , , , , , , , , , , , ,38
4027,0140355,well drained,morainal till, , , , , , , , , , , , , ,70
4028,0140356,imperfectly drained,morainal till, , , , , , , , , , , , , ,53
4029,0140357,well drained,morainal till, , , , , , , , , , , , , ,26
4030,0140358,well drained,morainal till, , , , , , , , , , , , , , 
4031,0140359,well drained,morainal till, , , , , , , , , , , , , ,50
4032,0140360,well drained,morainal till, , , , , , , , , , , , , ,75
4033,0140361,well drained,morainal till, , , , , , , , , , , , , ,80
4034,0140362,imperfectly drained,morainal till, , , , , , , , , , , , , ,20
4035,0140363,moderately drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , , 
4036,0140364,well drained,morainal till, , , , , , , , , , , , , ,38
4037,0140365,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,42
4038,0140366,well drained,morainal till, , , , , , , , , , , , , ,40
4039,0140367,poorly drained,organic, , , , ,organic, , , , , , , , ,80
4040,0140368,imperfectly drained,morainal till, , , , , , , , , , , , , ,53
4041,0140369,well drained,morainal till, , , , , , , , , , , , , ,55
4042,0140370,well drained,morainal till, , , , , , , , , , , , , ,50
4043,0140371,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,40
4044,0140372,poorly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,50
4045,0140373,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,80
4046,0140374,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,90
4047,0140375,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,85
4048,0140376,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,60
4049,0140377,poorly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,55
4050,0140378,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,60
4051,0140379,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,75
4052,0140380,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , , 
4053,0140381,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,55
4054,0140382,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,58
4055,0140383,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,65
4056,0140384,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,50
4057,0140385,imperfectly drained,morainal till, , , , , , , , , , , , , ,45
4058,0140386,imperfectly drained,morainal till, , , , , , , , , , , , , , 
4059,0140387,imperfectly drained,morainal till, , , , , , , , , , , , , ,53
4060,0140388,imperfectly drained,morainal till, , , , , , , , , , , , , ,50
4061,0140389,imperfectly drained,morainal till, , , , , , , , , , , , , ,40
4062,0140390,well drained,morainal till, , , , , , , , , , , , , ,0
4063,0140391,well drained,morainal till, , , , , , , , , , , , , ,0
4064,0140392,well drained,morainal till, , , , , , , , , , , , , ,0
4065,0140393,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,80
4066,0140394,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,20
4067,0140395,well drained,morainal till, , , , , , , , , , , , ,50, 
4068,0140396,poorly drained,morainal till, , , , , , , , , , , , ,50,45
4069,0140397,well drained,morainal till, , , , , , , , , , , , ,50,0
4070,0140398,poorly drained,morainal till, , , , , , , , , , , , ,55,45
4071,0140399,well drained,morainal till, , , , , , , , , , , , ,55, 
4072,0140400,imperfectly drained,morainal till, , , , , , , , , , , , ,70,33
4073,0140401,well drained,morainal till, , , , , , , , , , , , ,40,0
4074,0140402,imperfectly drained,morainal till, , , , , , , , , , , , ,65,45
4075,0140403,poorly drained,morainal till, , , , , , , , , , , , ,50,25
4076,0140404,well drained,morainal till, , , , , , , , , , , , ,40,0
4077,0140405,well drained,morainal till, , , , , , , , , , , , ,40,0
4078,0140406,well drained,morainal till, , , , , , , , , , , , ,40,0
4079,0140407,well drained,morainal till, , , , , , , , , , , , ,50,0
4080,0140408,well drained,morainal till, , , , , , , , , , , , ,45,0
4081,0140409,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,45
4082,0140410,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,53
4083,0140411,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,65
4084,0140412,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,55
4085,0140413,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,42
4086,0140414,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,38
4087,0140415,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,35
4088,0140416,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,40
4089,0140417,well drained,morainal till, , , , , , , , , , , , , ,30
4090,0140418,well drained,morainal till, , , , , , , , , , , , , ,95
4091,0140419,well drained,morainal till, , , , , , , , , , , , , ,68
4092,0140420,well drained,morainal till, , , , , , , , , , , , , ,60
4093,0140421,imperfectly drained,morainal till, , , , , , , , , , , , , ,100
4094,0140422,well drained,morainal till, , , , , , , , , , , , , , 
4095,0140423,well drained,morainal till, , , , , , , , , , , , , ,35
4096,0140424,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,43
4097,0140425,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,35
4098,0140426,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,58
4099,0140427,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,60
4100,0140428,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,65
4101,0140429,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,0
4102,0140430,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , ,70
4103,0140431,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , ,48
4104,0140432,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4105,0140433,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,60
4106,0140434,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,93
4107,0140435,well drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , ,68
4108,0140436,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4109,0140437,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4110,0140438,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4111,0140439,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4112,0140440,well drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4113,0140441,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4114,0140442,imperfectly drained,marine, , , , , , , , , , , , , , 
4115,0140443,imperfectly drained,marine, , , , , , , , , , , , , , 
4116,0140444,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4117,0140445,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4118,0140446,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4119,0140447,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4120,0140448,rapidly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4121,0140449,well drained,morainal till, , , , , , , , , , , , , , 
4122,0140450,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4123,0140451,imperfectly drained,lacustrine and glacio-lacustrine, , , , ,lacustrine and glacio-lacustrine, , , , , , , , , 
4124,0140452,poorly drained,marine, , , , , , , , , , , , , , 
4125,0140453,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4126,0140454,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4127,0140455,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4128,0140456,well drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4129,0140457,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4130,0140458,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4131,0140459,poorly drained,marine, , , , , , , , , , , , , , 
4132,0140460,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4133,0140461,imperfectly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
4134,0140462,poorly drained,marine, , , , , , , , , , , , , , 
4135,0140463,well drained,morainal till, , , , , , , , , , , , , ,20
4136,0140464,well drained,morainal till, , , , , , , , , , , , , , 
4137,0140465,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4138,0140466,poorly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4139,0140467,imperfectly drained,fluvial and glacio-fluvial, , , , , , , , , , , , , , 
4140,0140468,poorly drained,lacustrine and glacio-lacustrine, , , , , , , , , , , , , , 
