OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
127,0750006,5,57,81, ,6.3, ,8.3, , , , , , , , , , , , , ,0.23, , , 
128,0150174,6,39,60,1.8,6.86,7.64,8.27, , , , , , , , , , , , , ,0.79, , , 
129,0150172,5,43,110,1.87, ,7.89,8.24, , , , , , , , , , , , , ,1.01, , , 
130,0150170,2,0,7,0.96, ,7.49,8.21, , , , , , , , , , , , , ,1.03, , , 
131,0020401,4,55,120, , , ,8.2, , , , , , , , , , , , , ,9, , , 
132,0042708,2,14,24,1.33, , ,8.2, , , , , , , , , , , , , ,0.12, , , 
133,0042709,3,64, ,0.08, , ,8.2, , , , , , , , , , , , , ,9, , , 
134,0042712,3,29, ,0.15, , ,8.2, , , , , , , , , , , , , ,9, , , 
135,0042733,3,15,23,1.13, , ,8.2, , , , , , , ,17.4, , , , , ,0.11, ,25.9,15.1
136,0042737,9,152,198,0.78, , ,8.2, , , , , , , , , , , , , ,9, ,2.3,24.9
137,0042743,4,53,84,0.09, , ,8.2, , , , , , , , , , , , , ,0.01, ,12.1,22
138,0042850,4,18, ,0.51, , ,8.2, , , , , , , , , , , , , ,9, ,34.4,17.3
139,0042940,4,46,66, , , ,8.2, , , , , , , , , , , , , ,9, , , 
140,0042941,1,-5,0,5.2, , ,8.2, , , , , , , , , , , , , ,9, , , 
141,0043593,2,16,26,1.7, , ,8.2, , , , , , , ,20.8,42, , , , ,0.2, ,3.1,2.1
142,0043596,2,28,41,0.6, , ,8.2, , , , , , , ,13.5,38, , , , ,0.1, ,28.4,19.3
143,0043601,6,74,100, , , ,8.2, , , , , , , ,12.9,37, , , , ,9, ,5.2,18.5
144,0043601,7,100,125, , , ,8.2, , , , , , , ,10.4, , , , , ,9, ,5.8,19.3
145,0043602,5,80,100, , , ,8.2, , , , , , , ,12.7,40, , , , ,0.26, ,10,15.2
146,0043603,3,35,65, , , ,8.2, , , , , , , ,7.1,27, , , , ,9, ,14.7,7.4
147,0043608,3,34,48,1, , ,8.2, , , , , , , ,17.7,38, , , , ,0.1, ,0.6,6.3
148,0043608,6,88,100, , , ,8.2, , , , , , , ,8.3, , , , , ,9, ,15,15.6
149,0043616,4,48,54, , , ,8.2, , , , , , , ,7.7, , , , , ,9, ,15.1,4.7
150,0043719,3,40,67, , , ,8.2, , , , , , , ,33.5, , , , , ,9, ,11.9,2.6
151,0043840,3,22,28,1, , ,8.2, , , , , , , ,18.5,48, , , , ,9, ,13,10.1
152,0043855,4,40,68, , , ,8.2, , , , , , , ,15.4,42, , , , ,9, ,14.1,10.6
153,0043855,5,68,100, , , ,8.2, , , , , , , ,14.9,38, , , , ,9, ,10.8,10.5
154,0043858,3,23,50,0.8, , ,8.2, , , , , , , ,22.7,51, , , , ,9, ,8.1,2.5
155,0043892,4,60,100, , , ,8.2, ,18.8, , ,29.6, , ,35.2,70, , , , ,9, ,11.4,9.7
156,0043902,3,35,55, , , ,8.2, ,19.4, , ,16.4, , ,19.8,51, , , , ,9, ,11.5,17.2
157,0043902,4,55,80, , , ,8.2, ,18, , ,18.1, , ,21.8,54, , , , ,9, ,8.8,19
158,0044036,4,70,100, , , ,8.2, ,23.2, ,0.5,33.3,3.8, ,43.2,79, , , , ,9, ,8.4,1.6
159,0044067,4,34,40, , , ,8.2, ,17.9, ,0.6,17.8,0.5, ,28.8,53, , , , ,9, ,12.9,10
160,0044067,6,60,90, , , ,8.2, ,16.2, ,1.3,25.3,2.1, ,25.9,63, , , , ,9, ,5.9,13.4
161,0044161,1,0,20,0.05, , ,8.2, ,19.3, ,1.4,6.7,0.5, ,8.8,65.9, , , , ,0.43, ,16.4,6.9
162,0044161,6,70,100, , , ,8.2, ,12, ,0.2,0.5, , ,2.2,21.8, , , , ,9, ,3.2,1.9
163,0044206,3,32,38, , , ,8.2, ,12.1, , ,6.6,0.6, ,8.1,36, , , , ,9, ,10.9,28.1
164,0044220,4,35,50, , , ,8.2, ,20.6, ,0.3,5.8,1.2, ,5.1,34, , , , ,9, ,23.7,15.4
165,0044253,2,0,30,3.92, , ,8.2, ,16.3, ,0.2,26,4, ,28.7,55, , , , ,0.26, ,3.6, 
166,0044289,3,30,50, , , ,8.2, ,16.1, ,0.5,4.3,0.2, ,5,32.4, , , , ,9, ,2,3.1
167,0044289,4,50,75, , , ,8.2, ,13.5, ,0.5,8.6,0.8, ,7.1,36.3, , , , ,9, ,3.1,3.3
168,0044319,6,72,95, , , ,8.2, ,13.3, ,0.2,6.8,4.5, ,8.7,27.1, , , , ,9, ,4.5,7.9
169,0044335,4,36,46, , , ,8.2, ,27.3, ,0.6,14.4,0.4, ,20,50, , , , ,9, ,18.7,6.5
170,0044350,6,75,100, , , ,8.2, ,19.2, ,0.1,7.9, , ,10.4,33.6, , , , ,9, ,22.4,18.1
171,0150109,4,22,44,0.6,0.91,7.7,8.2,0.2,7.03, ,0.111,5.44, , , , , , , , ,1.24, , , 
172,0150121,5,43,44,1.79, ,7.5,8.2,0.11,13.47, ,0.32,4.09, , , , , , , , ,1.12, , , 
173,0150126,6,60,75,0.1,5.06,7.35,8.2,0.05,6.9, ,0.14,0.93, , , , , , , , ,39.44, , , 
174,0150160,5,42,75,1.05,4.98,7,8.2, , , , , , , , , , , , , ,1.29, , , 
175,0150162,4,31,63, ,0.76,7.24,8.2, , , , , , , , , , , , , ,0.66, , , 
176,0150179,3,15,38,0.14,0.3,8.2,8.2, , , , , , , , , , , , , ,0.05, , , 
177,0280326,6,71,100,0.11, , ,8.2, , , , , , , , , , , , , ,1.59, , , 
178,0280943,4,15,23,0.6, , ,8.2, , , , , , , , , , , , , ,1.53, , , 
179,0281047,7,76,91.5,0.26, , ,8.2, , , , , , , , , , , , , ,0.67, , , 
180,0281049,5,38,53.5,0.83, , ,8.2, , , , , , , , , , , , , ,1.01, , , 
181,0281051,7,61,100,0.01, , ,8.2, , , , , , , , , , , , , ,0.73, , , 
182,0281056,5,76,91.5,0.24, , ,8.2, , , , , , , , , , , , , ,0.96, , , 
