OID_,PROVINCE,DATASET_ID,PEDON_ID,CAL_YEAR,LOCALITY,CONF_METRS,ELEVATION,EXTENT,PURPOSE,CSSC_ORDER,CSSC_GTGRP,CSSC_SBGRP,CSSC_NAME,CSSC_CODE,TX_PHASE_1,TX_FIT,TX_FACTOR1,TX_FACTOR2,LANDUSE,DD_LAT_N,DD_LONG_N
4332,newfoundland,010,0106222,1981, ,15, ,very limited,semi-detailed,organic,mesisol, ,mpd, ,Typic,modal, , ,fen,49.2103119,-55.3680115
4333,newfoundland,010,0106223,1981, ,15, ,very limited,semi-detailed,organic,fibrisol, ,dwd, ,Typic,modal, , ,bog,49.2446098,-55.3764915
4334,newfoundland,010,0106224,1981, ,15, ,limited,semi-detailed,podzol,ferro-humic, ,abn, ,Orthic,taxadjunct, , ,productive,49.2183914,-55.3801003
4335,newfoundland,010,0106225,1981, ,15, ,extensive,semi-detailed,organic,fibrisol, ,dwd, ,Hydric,modal, , ,bog,49.1533394,-55.4782295
4336,newfoundland,010,0106226,1981, ,15, ,extensive,semi-detailed,organic,fibrisol, ,dwd, ,Hydric,modal, , ,bog,49.2052917,-55.4615288
4337,newfoundland,010,0106227,1981, ,15, ,limited,semi-detailed,organic,mesisol, ,mpd, ,Terric Fibric,modal, , ,fen,49.2664795,-55.3964005
4338,newfoundland,010,0106228,1981, ,15, ,very limited,semi-detailed,organic,fibrisol, ,dwd, ,Typic,modal, , ,bog,49.2950783,-55.3830910
4339,newfoundland,010,0106229,1981, ,15, ,very limited,semi-detailed,podzol,ferro-humic, ,nbr, ,Orthic,modal, , , ,49.2017288,-55.4643898
4340,newfoundland,010,0106230,1981, ,15, ,limited,semi-detailed,podzol,ferro-humic, ,abn, ,Orthic,modal, , ,productive,49.2211189,-55.4212112
4341,newfoundland,010,0106231,1981, ,15, ,very limited,semi-detailed,podzol,ferro-humic, ,chd, ,Orthic,modal, , ,productive,49.2636490,-55.3875504
4342,newfoundland,010,0106232,1981, ,15, ,limited,semi-detailed,podzol,humo-ferric, ,bta, ,Gleyed,modal, , , ,49.3166695,-55.3834801
