dataset,profile_id,latitude,longitude,year,n_layers,total_depth_cm,stock_kgm2_total,stock_kgm2_0_30,surface_OrgC_pct,mean_BDOD,reaches_30cm,stock_0_30_is_lower_bound,dist_fort_severn_km,soil_type,soil_type_basis,in_hbl
NPDB,0500093,57.5638885,-112.5216675,2004,2,60,0,0,NA,NA,TRUE,FALSE,1516.796451567575,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500094,57.5672188,-112.5163879,2004,2,20,0,0,NA,NA,FALSE,TRUE,1516.4560445943898,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500095,57.5269394,-112.4872208,2004,4,60,0,0,NA,NA,TRUE,FALSE,1515.0438542846173,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500096,57.5269394,-112.48806,2004,3,85,0,0,NA,NA,TRUE,FALSE,1515.0938196695488,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500097,57.5299988,-112.4877777,2004,6,100,0,0,NA,NA,TRUE,FALSE,1515.0520362401978,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500098,57.5349998,-112.4722214,2004,6,51,0,0,NA,NA,TRUE,FALSE,1514.085318898913,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500099,57.5380592,-112.4752808,2004,4,39,0,0,NA,NA,TRUE,FALSE,1514.2427145351799,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500100,57.5366707,-112.4794388,2004,2,30,0,0,NA,NA,TRUE,FALSE,1514.5014415515177,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500101,57.5347214,-112.3658295,2004,2,29,0,0,NA,NA,FALSE,TRUE,1507.753787527714,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500102,57.5791702,-112.4527817,2004,7,55,0,0,NA,NA,TRUE,FALSE,1512.579609774581,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500103,57.5769386,-112.4480591,2004,2,140,0,0,NA,NA,TRUE,FALSE,1512.3159656697449,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500104,57.5761108,-112.4483337,2004,2,35,0,0,NA,NA,TRUE,FALSE,1512.3386947597633,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500105,57.5719414,-112.4547195,2004,2,60,0,0,NA,NA,TRUE,FALSE,1512.7508359978262,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500106,57.5672188,-112.4433289,2004,7,55,0,0,NA,NA,TRUE,FALSE,1512.110031478792,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500107,57.5680618,-112.4438934,2004,2,47,0,0,NA,NA,TRUE,FALSE,1512.1370430327627,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500108,57.5686111,-112.4444427,2004,5,49,0,0,NA,NA,TRUE,FALSE,1512.1654411960255,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500109,57.5705605,-112.4480591,2004,5,40,0,0,NA,NA,TRUE,FALSE,1512.3653947629923,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500110,57.5330582,-112.4894409,2004,6,95,0,0,NA,NA,TRUE,FALSE,1515.1261475595823,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500111,57.5344391,-112.4869385,2004,2,5,0,0,NA,NA,FALSE,TRUE,1514.9659632424678,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500112,57.5349998,-112.4875031,2004,8,76,0,0,NA,NA,TRUE,FALSE,1514.9950243861945,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0500113,57.5327797,-112.4886093,2004,6,45,0,0,NA,NA,TRUE,FALSE,1515.0789054212055,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500114,57.5597191,-112.5049973,2004,7,65,0,0,NA,NA,TRUE,FALSE,1515.8377819875175,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500115,57.5738907,-112.5238876,2004,2,30,0,0,NA,NA,TRUE,FALSE,1516.8496088065272,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500116,57.5797195,-112.5180588,2004,5,45,0,0,NA,NA,TRUE,FALSE,1516.4573641433199,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500117,57.5805588,-112.5163879,2004,2,35,0,0,NA,NA,TRUE,FALSE,1516.3514611698652,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500118,57.583889,-112.5097198,2004,5,40,0,0,NA,NA,TRUE,FALSE,1515.9290723497538,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500119,57.5855598,-112.4974976,2004,2,36,0,0,NA,NA,TRUE,FALSE,1515.1893921489739,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500120,57.5863914,-112.4886093,2004,5,54,0,0,NA,NA,TRUE,FALSE,1514.654474339887,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500121,57.5866699,-112.4888916,2004,5,60,0,0,NA,NA,TRUE,FALSE,1514.6691148577365,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500122,57.5886116,-112.4736099,2004,8,72,0,0,NA,NA,TRUE,FALSE,1513.7455612273359,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500123,57.58778,-112.4672165,2004,3,130,0,0,NA,NA,TRUE,FALSE,1513.3717910040377,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500124,57.4313889,-112.7047195,2004,5,60,0,0,NA,NA,TRUE,FALSE,1528.8367527143273,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500125,57.4300003,-112.7038879,2004,5,45,0,0,NA,NA,TRUE,FALSE,1528.7999471866663,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500126,57.4261093,-112.7011108,2004,3,140,0,0,NA,NA,TRUE,FALSE,1528.670219712303,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500127,57.4158287,-112.7666702,2004,2,18,0,0,NA,NA,FALSE,TRUE,1532.6776405411729,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500128,57.4025002,-112.765831,2004,7,60,0,0,NA,NA,TRUE,FALSE,1532.7537417526278,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500129,57.4033318,-112.753891,2004,2,36,0,0,NA,NA,TRUE,FALSE,1532.0332029901617,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500130,57.4444389,-112.8669434,2004,5,40,0,0,NA,NA,TRUE,FALSE,1538.3906044910343,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500131,57.4433289,-112.867218,2004,5,31,0,0,NA,NA,TRUE,FALSE,1538.417326461147,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500132,57.439720199999996,-112.8741684,2004,2,130,0,0,NA,NA,TRUE,FALSE,1538.865498782533,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500133,57.4375,-112.8761063,2004,6,50,0,0,NA,NA,TRUE,FALSE,1539.0018739007498,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500134,57.4288902,-112.8794403,2004,3,25,0,0,NA,NA,FALSE,TRUE,1539.281817833315,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500135,57.4144402,-112.8686066,2004,5,54,0,0,NA,NA,TRUE,FALSE,1538.772902397111,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500136,57.4155617,-112.8858337,2004,4,125,0,0,NA,NA,TRUE,FALSE,1539.789985928885,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500137,57.6680603,-112.2938919,2004,6,53,0,0,NA,NA,TRUE,FALSE,1502.4946190040962,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500138,57.6691704,-112.2933273,2004,2,37,0,0,NA,NA,TRUE,FALSE,1502.453578585747,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500139,57.6702805,-112.2930603,2004,2,135,0,0,NA,NA,TRUE,FALSE,1502.4302140853936,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500140,57.6733284,-112.2961121,2004,7,55,0,0,NA,NA,TRUE,FALSE,1502.5907579263585,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500141,57.6741714,-112.2977829,2004,6,50,0,0,NA,NA,TRUE,FALSE,1502.6842365098066,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500142,57.6747208,-112.2997208,2004,2,30,0,0,NA,NA,TRUE,FALSE,1502.795547336648,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500143,57.6744385,-112.3038864,2004,5,50,0,0,NA,NA,TRUE,FALSE,1503.0446774091297,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0500144,57.671669,-112.3274994,2004,5,60,0,0,NA,NA,TRUE,FALSE,1504.4648957158984,organic,NPDB has_organic_horizon flag,FALSE
