"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
870131,"alberta",1986,54.5699997,-115.4832993,10000,TRUE,1.60072,TRUE,1758.46762685477,TRUE
870132,"alberta",1986,54.5666695,-115.4332962,10000,TRUE,1.95606,TRUE,1755.48509705084,TRUE
870133,"alberta",1986,54.5616684,-115.4167023,10000,TRUE,2.49362,TRUE,1754.6193047238,TRUE
870134,"alberta",1986,54.203331,-116.1333008,10000,TRUE,1.70687,TRUE,1810.78098212461,TRUE
870135,"alberta",1986,54.1416702,-116.0999985,10000,TRUE,6.94,TRUE,1810.84860712978,TRUE
870148,"alberta",1986,54.125,-116.2833023,10000,TRUE,8.63316,TRUE,1822.77141979072,TRUE
870149,"alberta",1986,54.1300011,-116.1333008,10000,TRUE,11.43571,TRUE,1813.31484951907,TRUE
870151,"alberta",1986,54.078331,-116.2833023,10000,TRUE,16.15482,TRUE,1824.40454343977,TRUE
870152,"alberta",1986,54.0766716,-116.2833023,10000,TRUE,2.29847,TRUE,1824.46285018751,TRUE
870153,"alberta",1986,54.0566711,-116.2667007,10000,TRUE,1.3072,TRUE,1824.13922900594,TRUE
